city,avg_temp,wind_speed,precipitation,transport_capacity,resident_population,historical_signups,signup_growth,temp_cost,wind_cost,precip_cost,score
Ray,13.349052556310331,2.407978778737127,0,18733.5,113422451,66,0,0.3301894887379337,0.4079787787371272,0,0.6667808709440921
549160,15.897747286504195,2.0525507068223723,0,26139.4,91488908,23400,0,0.17954945730083907,0.052550706822372284,0,0.6589021602337103
Cameron,13.078294712355731,3.720492055356228,0,1.3,113422451,4280,0,0.3843410575288537,1.7204920553562282,0,0.6503343283075846
广东省,10.905388501323069,2.8616572908295383,0,2618.4,113422451,103668,0,0.8189222997353862,0.8616572908295383,0,0.6454859767760931
三明,14.024476013041452,2.689496364126044,0,5867.1,2486450,5833357,0,0.19510479739170955,0.6894963641260441,0,0.6448099328456791
四川省,13.786456367394624,1.8502782085195657,0,8893.6,77224388,750,0,0.24270872652107514,0.1497217914804343,0,0.6394068942473295
河北省,15.30673936360386,2.223366782715544,0,3.4,67442356,155,0,0.061347872720772044,0.2233667827155439,0,0.6327186715136218
河南省,10.1996035572699,1.8808102564102565,0,2205.3,88705658,1089,0,0.9600792885460201,0.11918974358974355,0,0.6204748125673468
583140,17.006317867719645,1.4629470802919708,0,5078.5,60259929,66,0,0.40126357354392894,0.5370529197080292,0,0.607101630647315
Chongli,19,3.009853361945636,0,304,77224388,26082,0,0.8,1.0098533619456358,0,0.6051103410118825
585060,13.359387838948232,3.4742545454545453,0,74.1,60259929,1092,0,0.32812243221035364,1.4742545454545453,0,0.5981136896317971
575540,17.809802517139058,1.3197214826950645,0,3.4,60003258,19,0,0.5619605034278117,0.6802785173049355,0,0.5974648178092771
576870,18.421176891432665,2.5647932700912834,0,11992.5,60003258,120,0,0.6842353782865331,0.5647932700912834,0,0.5933529065624982
572900,16.65917637441243,2.087176846225152,0,24.5,42527437,73,0,0.3318352748824857,0.0871768462251521,0,0.5904174894793723
Old,13.310022545603609,1.9587540569780024,0,3021.1,40605728,249,0,0.33799549087927827,0.04124594302199758,0,0.5880879411890338
浙江省,18.8869292654895,2.815452246176081,0,693.7,60003258,165,0,0.7773858530978999,0.8154522461760809,0,0.5848188688711152
Great,7.329471982758621,2.895502192282006,0,1942.8,4588804,5833357,0,1.5341056034482758,0.8955021922820059,0,0.582964810485989
535290,8.539461201109818,2.7608317477575426,0,2205.3,78410472,269,0,1.2921077597780364,0.7608317477575426,0,0.5812053505185529
上海,18.7369508893482,1.4017028288931612,0,31773.4,24870895,1603366,0,0.7473901778696401,0.5982971711068388,0,0.5809150362600204
581500,15.484093161546086,2.79518207983982,0,23.9,5278121,1603366,0,0.09681863230921728,0.7951820798398201,0,0.575751452486158
新疆维吾尔,14.39954967126002,2.0066313965155524,0,566.7,23210450,4612,0,0.12009006574799592,0.006631396515552446,0,0.5732888765588335
515730,17.66997857525442,2.1229028796279734,0,24.5,33839547,11403,0,0.5339957150508837,0.12290287962797342,0,0.5691498858451151
Columbia,16.092843854644673,1.6188833408987744,0,5365.7,552694,1603366,0,0.2185687709289347,0.3811166591012256,0,0.5686868141837013
548080,15.427394734146093,2.5912238991110192,0,472.5,23533217,4178,0,0.08547894682921857,0.5912238991110192,0,0.5683863862731012
重庆,13.617136703927804,2.6926733491784645,0,11992.5,29643702,139,0,0.2765726592144393,0.6926733491784645,0,0.5677862081172733
566510,14.39954967126002,2.5341663626413715,0,2205.3,22531421,456,0,0.12009006574799592,0.5341663626413715,0,0.5662862415923767
北京,16.57904654036244,2.0537861915367484,0,30590.4,20391684,473,0,0.3158093080724882,0.05378619153674835,0,0.5616274250410889
Merapoh,15.00550106237448,2.0378951149425286,0,693.7,9498863,321,0,0.0011002124748959118,0.03789511494252862,0,0.5594172063319264
山东省,25.399374619994788,2.068911299697745,0,11992.5,91488908,157,0,2.0798749239989576,0.06891129969774479,0,0.557919581980022
583210,17.312175150265688,2.895502192282006,0,23.9,30459404,269,0,0.4624350300531376,0.8955021922820059,0,0.5573701738704018
512430,9.68393351800554,2.066326986680969,0,8,44224288,48,0,1.0632132963988918,0.06632698668096904,0,0.5571597232772821
Ut,19.733777023405395,2.5848760498706733,0,61.9,44224288,448,0,0.946755404681079,0.5848760498706733,0,0.5562325091508007
573780,17.608077042559803,2.9786630794701985,0,402.7,32121112,2534,0,0.5216154085119605,0.9786630794701985,0,0.555722674358059
518280,14.66873489121676,2.0566918510523475,0,472.5,4858359,229968,0,0.06625302175664807,0.05669185105234753,0,0.5555842860015654
GZ,15.30673936360386,1.2866639055705116,0,1866.6,4983340,547350,0,0.061347872720772044,0.7133360944294884,0,0.5549141373012277
Jiangnan,18.462590766472434,2.536424191160922,0,11500.4,5882719,1681057,0,0.6925181532944868,0.536424191160922,0,0.5547260354559683
哈尔滨,15.269096105752054,2.416332407693099,0,3054.5,10009854,73,0,0.05381922115041071,0.416332407693099,0,0.5538644298799406
贵阳,14.529411764705882,2.176736454308563,0,1866.6,5987018,149012,0,0.09411764705882356,0.17673645430856322,0,0.5529749506224403
548360,14.272722391265438,1.8502782085195657,0,5078.5,9202432,7456,0,0.14545552174691245,0.1497217914804343,0,0.5524976430086576
547250,14.78014140793114,2.0424971243333685,0,74.1,4774508,586,0,0.04397171841377201,0.0424971243333685,0,0.5518503310967355
580400,15.424443650013409,2.465227601156069,0,26767.1,8970014,533,0,0.08488873000268171,0.465227601156069,0,0.5512457799465736
菏泽,15.269096105752054,2.5928182224207235,0,8893.6,8795939,246,0,0.05381922115041071,0.5928182224207235,0,0.5503857597586624
560800,4.023746149106593,1.8559428284854564,0,11992.5,91488908,17688,0,2.1952507701786814,0.14405717151454356,0,0.5501068552965241
安徽省,8.435065735414955,2.6670670241286865,0,30590.4,55156504,392,0,1.312986852917009,0.6670670241286865,0,0.5500234383435559
Gwangju,14.60314818979087,2.0424971243333685,0,566.7,4118908,53,0,0.07937036204182597,0.0424971243333685,0,0.5496922389119526
544360,10.617704836503792,2.123936103831274,0,1757.9,32121112,80,0,0.8764590326992415,0.12393610383127385,0,0.5494927951808555
539590,15.30673936360386,2.063463958295884,0,8,3417945,31,0,0.061347872720772044,0.06346395829588403,0,0.549276953781971
536980,15.66038741416419,2.162673807807189,0,1119.4,5796766,44110,0,0.13207748283283785,0.16267380780718899,0,0.5492441495095588
548630,13.786456367394624,2.091952162575308,0,5078.5,9314685,1092,0,0.24270872652107514,0.09195216257530792,0,0.549225797694025
Ultrabericus,22.466713237862383,2.391425908667288,0,184.4,60003258,554,0,1.4933426475724765,0.391425908667288,0,0.5492241907703985
